,time,Global_Temp
508,1922-05-15,-0.20236054
509,1922-06-15,-0.1099518
510,1922-07-15,-0.12354879
511,1922-08-15,-0.19868478
512,1922-09-15,-0.23155804
513,1922-10-15,-0.1803388
514,1922-11-15,0.02345785
515,1922-12-15,-0.026349686
516,1923-01-15,-0.20432812
517,1923-02-15,-0.13320722
518,1923-03-15,-0.23784438
519,1923-04-15,-0.23975927
520,1923-05-15,-0.21421519
521,1923-06-15,-0.11369834
522,1923-07-15,-0.15093681
523,1923-08-15,-0.1403267
524,1923-09-15,-0.14941418
525,1923-10-15,0.1100424
526,1923-11-15,0.15872741
527,1923-12-15,0.06375946
528,1924-01-15,-0.13231665
529,1924-02-15,-0.11669838
530,1924-03-15,0.13925184
531,1924-04-15,-0.24236624
532,1924-05-15,-0.0026099763
533,1924-06-15,-0.1283933
534,1924-07-15,-0.15220971
535,1924-08-15,-0.16110267
536,1924-09-15,-0.13939857
537,1924-10-15,-0.14161877
538,1924-11-15,0.16500783
539,1924-12-15,-0.16412137
540,1925-01-15,-0.14485416
541,1925-02-15,-0.22941041
542,1925-03-15,-0.15768692
543,1925-04-15,-0.10791714
544,1925-05-15,-0.1569561
545,1925-06-15,-0.19974732
546,1925-07-15,-0.17409378
547,1925-08-15,-0.11722258
548,1925-09-15,-0.09181332
549,1925-10-15,-0.037876625
550,1925-11-15,0.18341507
551,1925-12-15,0.18618158
552,1926-01-15,0.4205407
553,1926-02-15,0.02635594
554,1926-03-15,0.38426638
555,1926-04-15,0.009661905
556,1926-05-15,-0.14736623
557,1926-06-15,-0.18220347
558,1926-07-15,-0.13504162
559,1926-08-15,0.008938795
560,1926-09-15,-0.027636537
561,1926-10-15,0.032998588
562,1926-11-15,0.14253451
563,1926-12-15,-0.20978825
564,1927-01-15,-0.19914952
565,1927-02-15,0.030804014
566,1927-03-15,-0.35423577
567,1927-04-15,-0.1992358
568,1927-05-15,-0.067927085
569,1927-06-15,-0.08705515
570,1927-07-15,-0.072290674
571,1927-08-15,-0.12133713
572,1927-09-15,0.0005262964
573,1927-10-15,0.11924444
574,1927-11-15,0.03436944
575,1927-12-15,-0.2279304
576,1928-01-15,0.15078568
577,1928-02-15,0.15503484
578,1928-03-15,-0.09445959
579,1928-04-15,-0.17407073
580,1928-05-15,-0.20311268
581,1928-06-15,-0.24437843
582,1928-07-15,-0.09272042
583,1928-08-15,-0.07284084
584,1928-09-15,-0.0687412
585,1928-10-15,-0.055298015
586,1928-11-15,0.08767227
587,1928-12-15,0.11842299
588,1929-01-15,-0.18596004
589,1929-02-15,-0.22402763
590,1929-03-15,-0.22037113
591,1929-04-15,-0.31962717
592,1929-05-15,-0.26159245
593,1929-06-15,-0.30435926
594,1929-07-15,-0.26117834
595,1929-08-15,-0.21450591
596,1929-09-15,-0.12262626
597,1929-10-15,0.035770413
598,1929-11-15,0.027215274
599,1929-12-15,-0.33382934
600,1930-01-15,0.07399791
601,1930-02-15,-0.23468067
602,1930-03-15,0.049256712
603,1930-04-15,-0.1048254
604,1930-05-15,-0.10485507
605,1930-06-15,-0.08663344
606,1930-07-15,-0.1130926
607,1930-08-15,-0.0142300455
608,1930-09-15,-0.042149067
609,1930-10-15,-0.18076089
610,1930-11-15,0.5126584
611,1930-12-15,0.045437396
612,1931-01-15,-0.32803395
613,1931-02-15,0.05499618
614,1931-03-15,-0.21704611
615,1931-04-15,-0.34339634
616,1931-05-15,-0.06533398
617,1931-06-15,0.017983979
618,1931-07-15,0.07182007
619,1931-08-15,0.015774665
620,1931-09-15,0.12628995
621,1931-10-15,0.46753842
622,1931-11-15,0.5178341
623,1931-12-15,0.22845814
624,1932-01-15,0.1808173
625,1932-02-15,0.1430873
626,1932-03-15,0.08627141
627,1932-04-15,0.10446229
628,1932-05-15,0.048241723
629,1932-06-15,-0.21420044
630,1932-07-15,-0.14300202
631,1932-08-15,0.043227855
632,1932-09-15,0.24678142
633,1932-10-15,0.15138227
634,1932-11-15,-0.41972366
635,1932-12-15,-0.14666218
636,1933-01-15,0.4085713
637,1933-02-15,0.14972554
638,1933-03-15,-0.2086652
639,1933-04-15,-0.0714698
640,1933-05-15,-0.26059127
641,1933-06-15,-0.31130067
642,1933-07-15,-0.13810773
643,1933-08-15,-0.14648248
644,1933-09-15,-0.3060462
645,1933-10-15,-0.20709853
646,1933-11-15,-0.4754427
647,1933-12-15,-0.59890527
648,1934-01-15,0.14569561
649,1934-02-15,0.49228746
650,1934-03-15,0.048322074
651,1934-04-15,-0.30790943
652,1934-05-15,0.06518067
653,1934-06-15,-0.05062541
654,1934-07-15,-0.069428116
655,1934-08-15,-0.05492291
656,1934-09-15,-0.040508363
